TG.ID	TG_ensembl	tg_taxid	tg_ensembl_db	tg_ensembl_db_mi
6204	ENSG00000124614	9606	ensembl	MI:0476
6206	ENSG00000112306	9606	ensembl	MI:0476
5573	ENSG00000108946	9606	ensembl	MI:0476
3596	ENSG00000169194	9606	ensembl	MI:0476
2099	ENSG00000091831	9606	ensembl	MI:0476
3484	ENSG00000146678	9606	ensembl	MI:0476
7042	ENSG00000092969	9606	ensembl	MI:0476
15977	ENSMUSG00000048806	10090	ensembl	MI:0476
836	ENSG00000164305	9606	ensembl	MI:0476
389421	ENSG00000187772	9606	ensembl	MI:0476
1869	ENSG00000101412	9606	ensembl	MI:0476
15426	ENSMUSG00000001657	10090	ensembl	MI:0476
5970	ENSG00000173039	9606	ensembl	MI:0476
50943	ENSG00000049768	9606	ensembl	MI:0476
5105	ENSG00000124253	9606	ensembl	MI:0476
12156	ENSMUSG00000027358	10090	ensembl	MI:0476
3569	ENSG00000136244	9606	ensembl	MI:0476
17260	ENSMUSG00000005583	10090	ensembl	MI:0476
22786	ENSMUSG00000024734	10090	ensembl	MI:0476
22788	ENSMUSG00000004948	10090	ensembl	MI:0476
16875	ENSMUSG00000096225	10090	ensembl	MI:0476
5649	ENSG00000189056	9606	ensembl	MI:0476
18013	ENSMUSG00000038255	10090	ensembl	MI:0476
20591	ENSMUSG00000025332	10090	ensembl	MI:0476
2919	ENSG00000163739	9606	ensembl	MI:0476
18935	ENSMUSG00000012520	10090	ensembl	MI:0476
12162	ENSMUSG00000008999	10090	ensembl	MI:0476
5949	ENSG00000265203	9606	ensembl	MI:0476
